영상 파일명,평균 속도(FPS),최저 속도(Seconds),최고 속도(Seconds),평균 사람 형태 차단율(%),최저 사람 형태 차단율(%),최고 사람 형태 차단율(%),평균 BBox 마스킹률(%),최저 BBox 마스킹률(%),최고 BBox 마스킹률(%),평균 신뢰도 점수(Conf)
result_cross_eval_20260608_114033.csv,5.237323369715558,0.1260778903961181,0.7081863880157471,98.50232589786397,0.0,100.0,99.86348122866893,0.0,100.0,0.8848079073958023
result_cross_eval_20260608_115206.csv,5.106155937966753,0.1321802139282226,0.2680792808532715,97.67755576394356,0.0,100.0,99.54640614096301,0.0,100.0,0.8675542760481805
result_cross_eval_20260608_121003.csv,4.918045013541252,0.1278557777404785,0.5455634593963623,97.73442406812951,79.74371748034983,100.0,100.0,100.0,100.0,0.8738283134390716
result_cross_eval_20260608_122538.csv,4.991197615033335,0.1182074546813964,0.3766505718231201,99.25801928475708,81.3219491027899,100.0,100.0,100.0,100.0,0.8915070252353433
result_cross_eval_20260608_131350.csv,5.327356619482352,0.1197648048400878,0.3862690925598144,97.60404243090849,0.0,100.0,99.63225636984502,0.0,100.0,0.8252867787082208
result_cross_eval_20260608_132647.csv,5.043667972642695,0.1394462585449218,0.3780152797698974,98.52060530046789,75.30202015138605,100.0,100.0,100.0,100.0,0.8709608044662643
result_cross_eval_20260608_134029.csv,6.0115193241296,0.1333892345428466,0.3624117374420166,83.35154296902635,6.360727758941789,100.0,100.0,100.0,100.0,0.8314291950337035
result_cross_eval_20260608_135143.csv,4.923757989359206,0.1331696510314941,0.3367917537689209,98.63396855140991,93.41350369535265,100.0,100.0,100.0,100.0,0.8795405247928435
result_cross_eval_20260608_140654.csv,5.277146225443856,0.1170606613159179,0.280095100402832,98.26092244573645,46.757983122005,100.0,100.0,100.0,100.0,0.8533124428751886
result_cross_eval_20260608_174923.csv,5.288857184922974,0.1253046989440918,0.4236083030700683,98.73356226170604,0.0,100.0,99.91622451829097,0.0,100.0,0.8437049009053609
result_cross_eval_20260608_180627.csv,5.426560875885798,0.1208865642547607,0.2257111072540283,98.16259343438199,0.0,100.0,99.9111374407583,0.0,100.0,0.8725483706529954
result_cross_eval_20260608_181819.csv,5.394753303410826,0.1331133842468261,0.2362406253814697,98.11078325989234,58.04076571339999,100.0,100.0,100.0,100.0,0.8556350048480265
result_cross_eval_20260608_183132.csv,5.645675201568638,0.1196269989013671,0.3466708660125732,98.76524434303082,0.0,100.0,99.91394148020653,0.0,100.0,0.8667260231348679
result_cross_eval_20260608_222948.csv,8.171217037897849,0.0916717052459716,0.3101875782012939,99.68769115671525,98.93869322898138,100.0,100.0,100.0,100.0,0.8934261934624778
result_cross_eval_20260608_223042.csv,8.282776684538069,0.0895106792449951,0.1694607734680175,99.44105712356568,97.61008111239859,100.0,100.0,100.0,100.0,0.8995783470571042
result_cross_eval_20260608_223204.csv,8.530067635839405,0.084728717803955,0.1895391941070556,99.19020896605602,97.86094725388008,100.0,100.0,100.0,100.0,0.8977159491607121
result_cross_eval_20260608_223248.csv,8.23297577772624,0.0890603065490722,0.1720261573791504,99.69356061997716,99.22393062741384,100.0,100.0,100.0,100.0,0.9021206013361613
result_cross_eval_20260608_223326.csv,7.972138763629852,0.0915007591247558,0.1687829494476318,99.41244849277534,98.63182137559528,100.0,100.0,100.0,100.0,0.9056255684012459
result_cross_eval_20260608_223411.csv,7.824312751980549,0.0913543701171875,0.1872859001159668,73.96261432778597,53.007580174927114,100.0,100.0,100.0,100.0,0.9021804386661166
result_cross_eval_20260608_223457.csv,7.654635742953727,0.0962178707122802,0.1972906589508056,99.72655692060822,98.785127009449,100.0,100.0,100.0,100.0,0.8904603898525238
result_cross_eval_20260608_223548.csv,8.248997836122546,0.0878117084503173,0.167640209197998,99.27580945218622,97.74058044806516,100.0,100.0,100.0,100.0,0.8645009954770406
result_cross_eval_20260608_223628.csv,8.223798875838831,0.0912091732025146,0.1949281692504882,97.07464666902965,66.61299765807962,100.0,100.0,100.0,100.0,0.835289762724166
result_cross_eval_20260608_223711.csv,8.21026659595669,0.088231086730957,0.1812789440155029,86.2083449934467,66.66912225127997,100.0,100.0,100.0,100.0,0.7820323910978105
result_cross_eval_20260608_223750.csv,7.874177626726776,0.0915770530700683,0.1944899559020996,99.37336755185912,97.89272880528814,100.0,100.0,100.0,100.0,0.8229532400767009
result_cross_eval_20260608_223837.csv,7.941933896293892,0.0940003395080566,0.1883108615875244,99.56031498639483,97.97996661101837,100.0,100.0,100.0,100.0,0.8551163341317858
result_cross_eval_20260608_223935.csv,8.201084348455183,0.0920257568359375,0.179206371307373,99.882004839781,97.98244941753525,100.0,100.0,100.0,100.0,0.8820679295630682
result_cross_eval_20260608_224023.csv,8.027627958852811,0.0911512374877929,0.187223196029663,99.06564291434046,86.78699967281057,100.0,100.0,100.0,100.0,0.795318607489268
